universe,config_id,label,strategy_score,train_total_trades_old,test_total_trades_old,train_expectancy_pct_old,test_expectancy_pct_old,train_profit_factor_old,test_profit_factor_old,train_max_drawdown_pct_old,test_max_drawdown_pct_old,train_total_trades_new,test_total_trades_new,train_expectancy_pct_new,test_expectancy_pct_new,train_profit_factor_new,test_profit_factor_new,train_max_drawdown_pct_new,test_max_drawdown_pct_new,train_total_trades_delta,test_total_trades_delta,train_expectancy_pct_delta,test_expectancy_pct_delta,train_profit_factor_delta,test_profit_factor_delta,train_max_drawdown_pct_delta,test_max_drawdown_pct_delta
mixed,cfg_12,Balanced hybrid 12/7/15,22.41,22,6,1.45,0.9,1.6,1.4,0.7,0.52,299,133,0.25,0.4,1.21,1.46,5.18,2.67,277,127,-1.2,-0.5,-0.3900000000000001,0.06000000000000005,4.4799999999999995,2.15
stocks,cfg_09,Hybrid 10/5/20,40.0,29,5,1.64,1.54,1.72,1.74,0.64,0.12,71,41,0.58,0.55,1.27,1.25,2.39,2.31,42,36,-1.06,-0.99,-0.44999999999999996,-0.49,1.75,2.19
etfs,cfg_01,Balanced fixed 10d,46.73,36,11,0.69,2.51,1.59,3.19,0.75,0.45,482,232,0.26,81.02,1.26,123.43,6.62,3.07,446,221,-0.42999999999999994,78.50999999999999,-0.33000000000000007,120.24000000000001,5.87,2.6199999999999997
crypto,cfg_07,Signal loss 40,6.39,13,7,-1.58,0.77,0.65,1.35,1.07,0.24,3,0,5.57,0.0,3.54,0.0,0.15,0.0,-10,-7,7.15,-0.77,2.89,-1.35,-0.92,-0.24
