buy_threshold_1,buy_threshold_2,buy_threshold_3,sell_threshold_1,sell_threshold_2,sell_threshold_3,full_total_return_pct,full_benchmark_return_pct,full_excess_return_pct,full_max_drawdown_pct,full_final_equity,full_buys,full_sells,full_strategy_score,full_cagr_pct,full_benchmark_cagr_pct,train_total_return_pct,train_benchmark_return_pct,train_excess_return_pct,train_max_drawdown_pct,train_final_equity,train_buys,train_sells,train_strategy_score,train_cagr_pct,train_benchmark_cagr_pct,test_total_return_pct,test_benchmark_return_pct,test_excess_return_pct,test_max_drawdown_pct,test_final_equity,test_buys,test_sells,test_strategy_score,test_cagr_pct,test_benchmark_cagr_pct,robust_score
70.0,75.0,80.0,15.0,20.0,25.0,877.7355268164551,370.0501494768311,507.6853773396241,-65.91202032537791,977735.5268164552,45,33,844.7795166537662,30.295070063184948,19.677088727559887,564.5810548856691,216.0207772795217,348.56027760614745,-65.91202032537791,664581.0548856691,30,23,531.6250447229802,37.146656466669256,21.15545826848697,11.570536178561095,42.357063392451934,-30.786527213890835,-47.57698296791675,111570.5361785611,12,7,-12.217955305397275,4.27178340173251,14.445861132594809,2.559119981149345
70.0,75.0,80.0,10.0,15.0,25.0,808.4508797724359,370.0501494768311,438.4007302956048,-67.31777461415898,908450.879772436,43,27,774.7919924653564,29.18832330405321,19.677088727559887,493.7755882611976,216.0207772795217,277.754810981676,-67.31777461415898,593775.5882611977,28,18,460.1167009541181,34.59389753188871,21.15545826848697,13.840226161018744,42.357063392451934,-28.5168372314332,-48.8213981692172,113840.22616101874,11,6,-10.57047292358986,5.077175875722872,14.445861132594809,2.4476317821569253
70.0,75.0,80.0,15.0,25.0,30.0,610.5691161672161,370.0501494768311,240.518966690385,-64.50483290025318,710569.1161672161,45,47,578.3166997170895,25.556706340533907,19.677088727559887,395.3628390085906,216.0207772795217,179.3420617290689,-64.50483290025318,495362.83900859056,30,33,363.110422558464,30.586986442282505,21.15545826848697,14.610629541469924,42.357063392451934,-27.74643385098201,-43.67441114241245,114610.62954146993,12,10,-7.226576029736304,5.348293302048268,14.445861132594809,2.337174594027668
70.0,75.0,80.0,15.0,20.0,30.0,693.1888383333123,370.0501494768311,323.1386888564813,-65.8287462336625,793188.8383333123,45,41,660.2744652164811,27.16988280703909,19.677088727559887,452.953996081461,216.0207772795217,236.9332188019393,-65.8287462336625,552953.996081461,30,27,420.03962296462976,33.00448380442029,21.15545826848697,12.249983822919685,42.357063392451934,-30.10707956953225,-45.06050071138208,112249.98382291968,12,10,-10.280266532771352,4.513936684122433,14.445861132594809,2.1397333079064698
70.0,75.0,80.0,10.0,15.0,30.0,639.7252491984735,370.0501494768311,269.6750997216425,-67.81479212174185,739725.2491984735,42,34,605.8178531376026,26.14407333014504,19.677088727559887,394.8374570372673,216.0207772795217,178.81667975774562,-67.81479212174185,494837.4570372673,27,21,360.9300609763964,30.563876985905104,21.15545826848697,14.415094511874216,42.357063392451934,-27.94196888057772,-46.24732518322438,114415.0945118742,12,9,-8.708568079737976,5.279588263307278,14.445861132594809,2.030603023489352
70.0,75.0,80.0,10.0,15.0,20.0,870.9217249782499,370.0501494768311,500.8715755014189,-68.76302034634452,970921.72497825,39,18,836.5402148050777,30.18935642190057,19.677088727559887,543.9961670758296,216.0207772795217,327.9753897963079,-68.76302034634452,643996.1670758296,24,10,509.6146569026573,36.428850109952094,21.15545826848697,11.02858149570116,42.357063392451934,-31.328481896750773,-50.33136773408207,111028.58149570116,10,5,-14.137102371339871,4.0779781204709264,14.445861132594809,2.014146800369353
70.0,75.0,80.0,20.0,25.0,30.0,612.9649497052588,370.0501494768311,242.9148002284278,-64.50483290025318,712964.949705259,46,51,580.7125332551323,25.60576745549714,19.677088727559887,420.4539289625688,216.0207772795217,204.43315168304704,-64.50483290025318,520453.9289625688,31,37,388.20151251244215,31.66757208702191,21.15545826848697,11.883810844118448,42.357063392451934,-30.473252548333488,-43.713269099392136,111883.81084411844,12,10,-9.97282370557762,4.383546523888127,14.445861132594809,1.9223205214734884
70.0,75.0,80.0,10.0,20.0,25.0,780.9399003769572,370.0501494768311,410.88975090012616,-65.91202032537791,880939.9003769573,45,31,747.9838902142683,28.728059282013763,19.677088727559887,511.5145964587781,216.0207772795217,295.4938191792563,-65.91202032537791,611514.596458778,30,22,478.55858629608906,35.25632310423647,21.15545826848697,10.736696907903266,42.357063392451934,-31.62036648454867,-48.83185934246035,110736.69690790326,11,6,-13.679232763326908,3.973356686870821,14.445861132594809,1.861588306548332
65.0,75.0,80.0,10.0,15.0,25.0,693.101208744243,370.0501494768311,323.0510592674119,-71.56816864322656,793101.208744243,57,27,657.3171244226297,27.16825211053497,19.677088727559887,416.2040907168322,216.0207772795217,200.1833134373105,-71.56816864322656,516204.0907168322,33,18,380.4200063952189,31.48764466905247,21.15545826848697,14.151225276871228,42.357063392451934,-28.205838115580708,-49.62622509595936,114151.22527687124,13,6,-10.661887271108451,5.186757551574339,14.445861132594809,1.8171266062189173
70.0,75.0,80.0,10.0,25.0,30.0,554.3028053400864,370.0501494768311,184.2526558632553,-64.50483290025318,654302.8053400863,45,45,522.0503888899598,24.36027254410684,19.677088727559887,359.9018533900039,216.0207772795217,143.8810761104822,-64.50483290025318,459901.8533900039,30,32,327.6494369398773,28.97924785229253,21.15545826848697,14.10584167869089,42.357063392451934,-28.251221713761044,-44.77189868775891,114105.8416786909,12,9,-8.280107665188567,5.170777980992436,14.445861132594809,1.7904931628087386
65.0,70.0,90.0,10.0,15.0,25.0,665.10167490078,370.0501494768311,295.051525423949,-68.0068817384932,765101.6749007801,56,27,631.0982340315335,26.6388688537303,19.677088727559887,399.56278695619625,216.0207772795217,183.54200967667447,-68.0068817384932,499562.7869561963,31,18,365.5593460869496,30.7709948535948,21.15545826848697,14.413420146320588,42.357063392451934,-27.943643246131344,-49.82455753826146,114413.42014632058,13,6,-10.49885862281014,5.278999629189096,14.445861132594809,1.713920749346765
65.0,75.0,80.0,15.0,20.0,25.0,717.7956845804725,370.0501494768311,347.7455351036415,-66.85773884784429,817795.6845804725,62,33,684.3668151565504,27.621610084189307,19.677088727559887,453.8465167711069,216.0207772795217,237.82573949158515,-66.85773884784429,553846.5167711069,38,23,420.4176473471847,33.04026458679148,21.15545826848697,11.763228401694304,42.357063392451934,-30.59383499075763,-48.448006334006266,111763.2284016943,12,7,-12.46077476530883,4.340550738853777,14.445861132594809,1.6954380376936615
65.0,70.0,90.0,10.0,15.0,20.0,759.6316128978222,370.0501494768311,389.5814634209911,-68.69954755064364,859631.6128978222,53,18,725.2818391225003,28.36275217819535,19.677088727559887,475.9665610677857,216.0207772795217,259.94578378826395,-68.69954755064364,575966.5610677857,28,10,441.6167872924639,33.91205715647665,21.15545826848697,11.813733273577242,42.357063392451934,-30.54333011887469,-51.205639655949774,111813.73327357724,11,5,-13.789086554397644,4.358562623894291,14.445861132594809,1.6057409447126796
65.0,70.0,90.0,15.0,20.0,25.0,682.4893846903589,370.0501494768311,312.4392352135278,-63.353469619766,782489.3846903589,58,33,650.8126498804759,26.96958958197284,19.677088727559887,431.1224251141149,216.0207772795217,215.1016478345932,-63.353469619766,531122.4251141149,33,23,399.4456903042319,32.11391361823601,21.15545826848697,12.176692956133127,42.357063392451934,-30.180370436318807,-48.61705364117197,112176.69295613312,13,7,-12.131833864452858,4.487859677114403,14.445861132594809,1.5890139231354057
