buy_div_pct,buy_rsi25_pct,buy_rsi20_pct,sell_div_pct,sell_rsi75_pct,sell_rsi80_pct,total_trades,win_rate,expectancy,profit_factor,max_drawdown,portfolio_return,final_capital,buy_count,sell_partial_count,sell_full_count,score
30.0,10.0,25.0,50.0,25.0,30.0,17,100.0,92.32,1569.41,0.0,4.43,104431.36,6,15,0,2918.465
30.0,10.0,35.0,50.0,25.0,30.0,17,100.0,92.32,1569.41,0.0,4.43,104431.36,6,15,0,2918.465
20.0,10.0,25.0,50.0,15.0,30.0,17,100.0,92.32,1569.41,0.0,4.21,104206.23,6,15,0,2918.245
20.0,10.0,35.0,50.0,15.0,30.0,17,100.0,92.32,1569.41,0.0,4.21,104206.23,6,15,0,2918.245
30.0,10.0,25.0,50.0,15.0,30.0,17,100.0,92.32,1569.41,0.0,4.21,104206.23,6,15,0,2918.245
30.0,10.0,35.0,50.0,15.0,30.0,17,100.0,92.32,1569.41,0.0,4.21,104206.23,6,15,0,2918.245
20.0,15.0,25.0,50.0,15.0,50.0,15,100.0,87.73,1315.92,0.0,3.58,103576.83,5,14,1,2509.84
20.0,15.0,35.0,50.0,15.0,50.0,15,100.0,87.73,1315.92,0.0,3.58,103576.83,5,14,1,2509.84
20.0,20.0,25.0,50.0,15.0,50.0,15,100.0,87.73,1315.92,0.0,3.58,103576.83,5,14,1,2509.84
20.0,20.0,35.0,50.0,15.0,50.0,15,100.0,87.73,1315.92,0.0,3.58,103576.83,5,14,1,2509.84
30.0,15.0,25.0,50.0,15.0,50.0,15,100.0,87.73,1315.92,0.0,3.58,103576.83,5,14,1,2509.84
30.0,15.0,35.0,50.0,15.0,50.0,15,100.0,87.73,1315.92,0.0,3.58,103576.83,5,14,1,2509.84
30.0,20.0,25.0,50.0,15.0,50.0,15,100.0,87.73,1315.92,0.0,3.58,103576.83,5,14,1,2509.84
30.0,20.0,35.0,50.0,15.0,50.0,15,100.0,87.73,1315.92,0.0,3.58,103576.83,5,14,1,2509.84
20.0,10.0,25.0,50.0,15.0,50.0,16,100.0,81.37,1301.86,0.0,3.08,103081.49,6,14,1,2450.09
20.0,10.0,35.0,50.0,15.0,50.0,16,100.0,81.37,1301.86,0.0,3.08,103081.49,6,14,1,2450.09
30.0,10.0,25.0,50.0,15.0,50.0,16,100.0,81.37,1301.86,0.0,3.08,103081.49,6,14,1,2450.09
30.0,10.0,35.0,50.0,15.0,50.0,16,100.0,81.37,1301.86,0.0,3.08,103081.49,6,14,1,2450.09
20.0,15.0,25.0,50.0,25.0,50.0,14,100.0,77.41,1083.81,0.0,4.06,104055.35,5,13,1,2100.235
20.0,15.0,35.0,50.0,25.0,50.0,14,100.0,77.41,1083.81,0.0,4.06,104055.35,5,13,1,2100.235
20.0,20.0,25.0,50.0,25.0,50.0,14,100.0,77.41,1083.81,0.0,4.06,104055.35,5,13,1,2100.235
20.0,20.0,35.0,50.0,25.0,50.0,14,100.0,77.41,1083.81,0.0,4.06,104055.35,5,13,1,2100.235
30.0,15.0,25.0,50.0,25.0,50.0,14,100.0,77.41,1083.81,0.0,4.06,104055.35,5,13,1,2100.235
30.0,15.0,35.0,50.0,25.0,50.0,14,100.0,77.41,1083.81,0.0,4.06,104055.35,5,13,1,2100.235
30.0,20.0,25.0,50.0,25.0,50.0,14,100.0,77.41,1083.81,0.0,4.06,104055.35,5,13,1,2100.235
30.0,20.0,35.0,50.0,25.0,50.0,14,100.0,77.41,1083.81,0.0,4.06,104055.35,5,13,1,2100.235
20.0,15.0,25.0,75.0,25.0,30.0,13,100.0,67.9,882.72,0.0,3.86,103864.08,5,12,1,1741.34
20.0,15.0,35.0,75.0,25.0,30.0,13,100.0,67.9,882.72,0.0,3.86,103864.08,5,12,1,1741.34
20.0,20.0,25.0,75.0,25.0,30.0,13,100.0,67.9,882.72,0.0,3.86,103864.08,5,12,1,1741.34
20.0,20.0,35.0,75.0,25.0,30.0,13,100.0,67.9,882.72,0.0,3.86,103864.08,5,12,1,1741.34
30.0,15.0,25.0,75.0,25.0,30.0,13,100.0,67.9,882.72,0.0,3.86,103864.08,5,12,1,1741.34
30.0,15.0,35.0,75.0,25.0,30.0,13,100.0,67.9,882.72,0.0,3.86,103864.08,5,12,1,1741.34
30.0,20.0,25.0,75.0,25.0,30.0,13,100.0,67.9,882.72,0.0,3.86,103864.08,5,12,1,1741.34
30.0,20.0,35.0,75.0,25.0,30.0,13,100.0,67.9,882.72,0.0,3.86,103864.08,5,12,1,1741.34
20.0,10.0,25.0,50.0,25.0,50.0,14,100.0,63.83,893.63,0.0,3.44,103439.22,6,12,1,1732.865
20.0,10.0,35.0,50.0,25.0,50.0,14,100.0,63.83,893.63,0.0,3.44,103439.22,6,12,1,1732.865
30.0,10.0,25.0,50.0,25.0,50.0,14,100.0,63.83,893.63,0.0,3.44,103439.22,6,12,1,1732.865
30.0,10.0,35.0,50.0,25.0,50.0,14,100.0,63.83,893.63,0.0,3.44,103439.22,6,12,1,1732.865
20.0,10.0,25.0,75.0,25.0,30.0,14,100.0,62.83,879.63,0.0,3.28,103280.88,6,12,1,1705.705
20.0,10.0,35.0,75.0,25.0,30.0,14,100.0,62.83,879.63,0.0,3.28,103280.88,6,12,1,1705.705
30.0,10.0,25.0,75.0,25.0,30.0,14,100.0,62.83,879.63,0.0,3.28,103280.88,6,12,1,1705.705
30.0,10.0,35.0,75.0,25.0,30.0,14,100.0,62.83,879.63,0.0,3.28,103280.88,6,12,1,1705.705
20.0,10.0,25.0,50.0,35.0,50.0,13,100.0,57.52,747.8,0.0,3.69,103694.97,6,11,1,1476.51
20.0,10.0,35.0,50.0,35.0,50.0,13,100.0,57.52,747.8,0.0,3.69,103694.97,6,11,1,1476.51
30.0,10.0,25.0,50.0,35.0,50.0,13,100.0,57.52,747.8,0.0,3.69,103694.97,6,11,1,1476.51
30.0,10.0,35.0,50.0,35.0,50.0,13,100.0,57.52,747.8,0.0,3.69,103694.97,6,11,1,1476.51
20.0,15.0,25.0,50.0,35.0,50.0,12,100.0,60.57,726.8,0.0,4.35,104349.21,5,11,1,1463.97
20.0,15.0,35.0,50.0,35.0,50.0,12,100.0,60.57,726.8,0.0,4.35,104349.21,5,11,1,1463.97
20.0,20.0,25.0,50.0,35.0,50.0,12,100.0,60.57,726.8,0.0,4.35,104349.21,5,11,1,1463.97
20.0,20.0,35.0,50.0,35.0,50.0,12,100.0,60.57,726.8,0.0,4.35,104349.21,5,11,1,1463.97
30.0,15.0,25.0,50.0,35.0,50.0,12,100.0,60.57,726.8,0.0,4.35,104349.21,5,11,1,1463.97
30.0,15.0,35.0,50.0,35.0,50.0,12,100.0,60.57,726.8,0.0,4.35,104349.21,5,11,1,1463.97
30.0,20.0,25.0,50.0,35.0,50.0,12,100.0,60.57,726.8,0.0,4.35,104349.21,5,11,1,1463.97
30.0,20.0,35.0,50.0,35.0,50.0,12,100.0,60.57,726.8,0.0,4.35,104349.21,5,11,1,1463.97
20.0,10.0,25.0,75.0,35.0,30.0,12,100.0,52.38,628.54,0.0,3.56,103556.06,6,10,1,1266.65
20.0,10.0,35.0,75.0,35.0,30.0,12,100.0,52.38,628.54,0.0,3.56,103556.06,6,10,1,1266.65
30.0,10.0,25.0,75.0,35.0,30.0,12,100.0,52.38,628.54,0.0,3.56,103556.06,6,10,1,1266.65
30.0,10.0,35.0,75.0,35.0,30.0,12,100.0,52.38,628.54,0.0,3.56,103556.06,6,10,1,1266.65
20.0,15.0,25.0,75.0,35.0,30.0,11,100.0,55.74,613.12,0.0,4.2,104204.73,5,10,1,1263.82
20.0,15.0,35.0,75.0,35.0,30.0,11,100.0,55.74,613.12,0.0,4.2,104204.73,5,10,1,1263.82
20.0,20.0,25.0,75.0,35.0,30.0,11,100.0,55.74,613.12,0.0,4.2,104204.73,5,10,1,1263.82
20.0,20.0,35.0,75.0,35.0,30.0,11,100.0,55.74,613.12,0.0,4.2,104204.73,5,10,1,1263.82
30.0,15.0,25.0,75.0,35.0,30.0,11,100.0,55.74,613.12,0.0,4.2,104204.73,5,10,1,1263.82
30.0,15.0,35.0,75.0,35.0,30.0,11,100.0,55.74,613.12,0.0,4.2,104204.73,5,10,1,1263.82
30.0,20.0,25.0,75.0,35.0,30.0,11,100.0,55.74,613.12,0.0,4.2,104204.73,5,10,1,1263.82
30.0,20.0,35.0,75.0,35.0,30.0,11,100.0,55.74,613.12,0.0,4.2,104204.73,5,10,1,1263.82
20.0,15.0,25.0,75.0,25.0,50.0,10,100.0,50.9,509.03,0.0,3.41,103412.19,5,9,1,1077.355
20.0,15.0,35.0,75.0,25.0,50.0,10,100.0,50.9,509.03,0.0,3.41,103412.19,5,9,1,1077.355
20.0,20.0,25.0,75.0,25.0,50.0,10,100.0,50.9,509.03,0.0,3.41,103412.19,5,9,1,1077.355
20.0,20.0,35.0,75.0,25.0,50.0,10,100.0,50.9,509.03,0.0,3.41,103412.19,5,9,1,1077.355
30.0,15.0,25.0,75.0,25.0,50.0,10,100.0,50.9,509.03,0.0,3.41,103412.19,5,9,1,1077.355
30.0,15.0,35.0,75.0,25.0,50.0,10,100.0,50.9,509.03,0.0,3.41,103412.19,5,9,1,1077.355
30.0,20.0,25.0,75.0,25.0,50.0,10,100.0,50.9,509.03,0.0,3.41,103412.19,5,9,1,1077.355
30.0,20.0,35.0,75.0,25.0,50.0,10,100.0,50.9,509.03,0.0,3.41,103412.19,5,9,1,1077.355
20.0,15.0,25.0,75.0,15.0,50.0,10,100.0,50.9,509.03,0.0,2.84,102838.56,5,9,1,1076.785
20.0,15.0,35.0,75.0,15.0,50.0,10,100.0,50.9,509.03,0.0,2.84,102838.56,5,9,1,1076.785
20.0,20.0,25.0,75.0,15.0,50.0,10,100.0,50.9,509.03,0.0,2.84,102838.56,5,9,1,1076.785
20.0,20.0,35.0,75.0,15.0,50.0,10,100.0,50.9,509.03,0.0,2.84,102838.56,5,9,1,1076.785
30.0,15.0,25.0,75.0,15.0,50.0,10,100.0,50.9,509.03,0.0,2.84,102838.56,5,9,1,1076.785
30.0,15.0,35.0,75.0,15.0,50.0,10,100.0,50.9,509.03,0.0,2.84,102838.56,5,9,1,1076.785
30.0,20.0,25.0,75.0,15.0,50.0,10,100.0,50.9,509.03,0.0,2.84,102838.56,5,9,1,1076.785
30.0,20.0,35.0,75.0,15.0,50.0,10,100.0,50.9,509.03,0.0,2.84,102838.56,5,9,1,1076.785
20.0,10.0,25.0,75.0,25.0,50.0,11,100.0,45.74,503.12,0.0,2.85,102846.15,6,9,1,1037.47
20.0,10.0,35.0,75.0,25.0,50.0,11,100.0,45.74,503.12,0.0,2.85,102846.15,6,9,1,1037.47
30.0,10.0,25.0,75.0,25.0,50.0,11,100.0,45.74,503.12,0.0,2.85,102846.15,6,9,1,1037.47
30.0,10.0,35.0,75.0,25.0,50.0,11,100.0,45.74,503.12,0.0,2.85,102846.15,6,9,1,1037.47
20.0,10.0,25.0,75.0,15.0,50.0,11,100.0,45.74,503.12,0.0,2.37,102370.6,6,9,1,1036.99
20.0,10.0,35.0,75.0,15.0,50.0,11,100.0,45.74,503.12,0.0,2.37,102370.6,6,9,1,1036.99
30.0,10.0,25.0,75.0,15.0,50.0,11,100.0,45.74,503.12,0.0,2.37,102370.6,6,9,1,1036.99
30.0,10.0,35.0,75.0,15.0,50.0,11,100.0,45.74,503.12,0.0,2.37,102370.6,6,9,1,1036.99
20.0,15.0,25.0,75.0,35.0,50.0,9,100.0,46.11,414.99,0.0,3.8,103796.3,5,8,1,907.445
20.0,15.0,35.0,75.0,35.0,50.0,9,100.0,46.11,414.99,0.0,3.8,103796.3,5,8,1,907.445
20.0,20.0,25.0,75.0,35.0,50.0,9,100.0,46.11,414.99,0.0,3.8,103796.3,5,8,1,907.445
20.0,20.0,35.0,75.0,35.0,50.0,9,100.0,46.11,414.99,0.0,3.8,103796.3,5,8,1,907.445
30.0,15.0,25.0,75.0,35.0,50.0,9,100.0,46.11,414.99,0.0,3.8,103796.3,5,8,1,907.445
30.0,15.0,35.0,75.0,35.0,50.0,9,100.0,46.11,414.99,0.0,3.8,103796.3,5,8,1,907.445
30.0,20.0,25.0,75.0,35.0,50.0,9,100.0,46.11,414.99,0.0,3.8,103796.3,5,8,1,907.445
30.0,20.0,35.0,75.0,35.0,50.0,9,100.0,46.11,414.99,0.0,3.8,103796.3,5,8,1,907.445
20.0,10.0,25.0,75.0,35.0,50.0,10,100.0,41.67,416.73,0.0,3.16,103163.39,6,8,1,883.275
20.0,10.0,35.0,75.0,35.0,50.0,10,100.0,41.67,416.73,0.0,3.16,103163.39,6,8,1,883.275
30.0,10.0,25.0,75.0,35.0,50.0,10,100.0,41.67,416.73,0.0,3.16,103163.39,6,8,1,883.275
30.0,10.0,35.0,75.0,35.0,50.0,10,100.0,41.67,416.73,0.0,3.16,103163.39,6,8,1,883.275
20.0,10.0,25.0,100.0,35.0,30.0,6,100.0,29.82,178.94,0.0,2.97,102968.41,6,4,1,443.3
20.0,10.0,35.0,100.0,35.0,30.0,6,100.0,29.82,178.94,0.0,2.97,102968.41,6,4,1,443.3
30.0,10.0,25.0,100.0,35.0,30.0,6,100.0,29.82,178.94,0.0,2.97,102968.41,6,4,1,443.3
30.0,10.0,35.0,100.0,35.0,30.0,6,100.0,29.82,178.94,0.0,2.97,102968.41,6,4,1,443.3
20.0,10.0,25.0,100.0,35.0,50.0,6,100.0,29.82,178.94,0.0,2.75,102754.04,6,4,1,443.08
20.0,10.0,35.0,100.0,35.0,50.0,6,100.0,29.82,178.94,0.0,2.75,102754.04,6,4,1,443.08
30.0,10.0,25.0,100.0,35.0,50.0,6,100.0,29.82,178.94,0.0,2.75,102754.04,6,4,1,443.08
30.0,10.0,35.0,100.0,35.0,50.0,6,100.0,29.82,178.94,0.0,2.75,102754.04,6,4,1,443.08
20.0,10.0,25.0,100.0,25.0,30.0,6,100.0,29.82,178.94,0.0,2.64,102635.25,6,4,1,442.97
20.0,10.0,35.0,100.0,25.0,30.0,6,100.0,29.82,178.94,0.0,2.64,102635.25,6,4,1,442.97
30.0,10.0,25.0,100.0,25.0,30.0,6,100.0,29.82,178.94,0.0,2.64,102635.25,6,4,1,442.97
30.0,10.0,35.0,100.0,25.0,30.0,6,100.0,29.82,178.94,0.0,2.64,102635.25,6,4,1,442.97
20.0,10.0,25.0,100.0,25.0,50.0,6,100.0,29.82,178.94,0.0,2.42,102421.57,6,4,1,442.75
20.0,10.0,35.0,100.0,25.0,50.0,6,100.0,29.82,178.94,0.0,2.42,102421.57,6,4,1,442.75
30.0,10.0,25.0,100.0,25.0,50.0,6,100.0,29.82,178.94,0.0,2.42,102421.57,6,4,1,442.75
30.0,10.0,35.0,100.0,25.0,50.0,6,100.0,29.82,178.94,0.0,2.42,102421.57,6,4,1,442.75
20.0,10.0,25.0,100.0,15.0,30.0,6,100.0,29.82,178.94,0.0,2.15,102149.28,6,4,1,442.48
20.0,10.0,35.0,100.0,15.0,30.0,6,100.0,29.82,178.94,0.0,2.15,102149.28,6,4,1,442.48
30.0,10.0,25.0,100.0,15.0,30.0,6,100.0,29.82,178.94,0.0,2.15,102149.28,6,4,1,442.48
30.0,10.0,35.0,100.0,15.0,30.0,6,100.0,29.82,178.94,0.0,2.15,102149.28,6,4,1,442.48
20.0,10.0,25.0,100.0,15.0,50.0,6,100.0,29.82,178.94,0.0,1.94,101936.61,6,4,1,442.27
20.0,10.0,35.0,100.0,15.0,50.0,6,100.0,29.82,178.94,0.0,1.94,101936.61,6,4,1,442.27
30.0,10.0,25.0,100.0,15.0,50.0,6,100.0,29.82,178.94,0.0,1.94,101936.61,6,4,1,442.27
30.0,10.0,35.0,100.0,15.0,50.0,6,100.0,29.82,178.94,0.0,1.94,101936.61,6,4,1,442.27
20.0,15.0,25.0,100.0,35.0,30.0,5,100.0,30.2,151.01,0.0,3.59,103593.49,5,4,1,403.805
20.0,15.0,35.0,100.0,35.0,30.0,5,100.0,30.2,151.01,0.0,3.59,103593.49,5,4,1,403.805
20.0,20.0,25.0,100.0,35.0,30.0,5,100.0,30.2,151.01,0.0,3.59,103593.49,5,4,1,403.805
20.0,20.0,35.0,100.0,35.0,30.0,5,100.0,30.2,151.01,0.0,3.59,103593.49,5,4,1,403.805
30.0,15.0,25.0,100.0,35.0,30.0,5,100.0,30.2,151.01,0.0,3.59,103593.49,5,4,1,403.805
30.0,15.0,35.0,100.0,35.0,30.0,5,100.0,30.2,151.01,0.0,3.59,103593.49,5,4,1,403.805
30.0,20.0,25.0,100.0,35.0,30.0,5,100.0,30.2,151.01,0.0,3.59,103593.49,5,4,1,403.805
30.0,20.0,35.0,100.0,35.0,30.0,5,100.0,30.2,151.01,0.0,3.59,103593.49,5,4,1,403.805
20.0,15.0,25.0,100.0,35.0,50.0,5,100.0,30.2,151.01,0.0,3.37,103370.51,5,4,1,403.585
20.0,15.0,35.0,100.0,35.0,50.0,5,100.0,30.2,151.01,0.0,3.37,103370.51,5,4,1,403.585
20.0,20.0,25.0,100.0,35.0,50.0,5,100.0,30.2,151.01,0.0,3.37,103370.51,5,4,1,403.585
20.0,20.0,35.0,100.0,35.0,50.0,5,100.0,30.2,151.01,0.0,3.37,103370.51,5,4,1,403.585
30.0,15.0,25.0,100.0,35.0,50.0,5,100.0,30.2,151.01,0.0,3.37,103370.51,5,4,1,403.585
30.0,15.0,35.0,100.0,35.0,50.0,5,100.0,30.2,151.01,0.0,3.37,103370.51,5,4,1,403.585
30.0,20.0,25.0,100.0,35.0,50.0,5,100.0,30.2,151.01,0.0,3.37,103370.51,5,4,1,403.585
30.0,20.0,35.0,100.0,35.0,50.0,5,100.0,30.2,151.01,0.0,3.37,103370.51,5,4,1,403.585
20.0,15.0,25.0,100.0,25.0,30.0,5,100.0,30.2,151.01,0.0,3.19,103192.96,5,4,1,403.405
20.0,15.0,35.0,100.0,25.0,30.0,5,100.0,30.2,151.01,0.0,3.19,103192.96,5,4,1,403.405
20.0,20.0,25.0,100.0,25.0,30.0,5,100.0,30.2,151.01,0.0,3.19,103192.96,5,4,1,403.405
20.0,20.0,35.0,100.0,25.0,30.0,5,100.0,30.2,151.01,0.0,3.19,103192.96,5,4,1,403.405
30.0,15.0,25.0,100.0,25.0,30.0,5,100.0,30.2,151.01,0.0,3.19,103192.96,5,4,1,403.405
30.0,15.0,35.0,100.0,25.0,30.0,5,100.0,30.2,151.01,0.0,3.19,103192.96,5,4,1,403.405
30.0,20.0,25.0,100.0,25.0,30.0,5,100.0,30.2,151.01,0.0,3.19,103192.96,5,4,1,403.405
30.0,20.0,35.0,100.0,25.0,30.0,5,100.0,30.2,151.01,0.0,3.19,103192.96,5,4,1,403.405
20.0,15.0,25.0,100.0,25.0,50.0,5,100.0,30.2,151.01,0.0,2.97,102970.85,5,4,1,403.185
